n,t1kmp,v1kmp,t1sa,v1sa,t1fmi,v1fmi
10000,2.09015e+05,1.47782e+07,1.51747e+03,6.11632e+04,4.72066e+05,7.47799e+07
20000,4.39734e+05,4.55610e+07,1.73057e+03,9.76441e+04,4.73099e+05,7.58479e+07
30000,6.62633e+05,1.27976e+08,1.76477e+03,6.04686e+04,4.71602e+05,8.68062e+07
40000,8.91422e+05,2.14465e+08,2.10300e+03,3.68580e+03,4.71424e+05,6.76720e+07
50000,1.02752e+06,3.23144e+08,2.48910e+03,5.35448e+04,4.16084e+05,6.16153e+07
60000,1.34121e+06,3.81311e+08,1.95267e+03,3.72442e+03,4.69346e+05,7.84661e+07
70000,1.55448e+06,5.55600e+08,1.99190e+03,4.30316e+03,4.70194e+05,9.01483e+07
80000,1.77392e+06,6.90399e+08,2.07307e+03,5.60266e+03,4.68560e+05,8.43302e+07
90000,4.00684e+06,3.91736e+13,2.06560e+03,4.57611e+03,1.53671e+06,1.59302e+13
100000,2.19063e+06,1.35530e+09,2.73087e+03,6.24730e+05,4.67519e+05,1.83426e+08
