n,t2kmp,v2kmp,t2sa,v2sa,t2fmi,v2fmi
10000,242088.0,24763600.0,71634700.0,281775000000.0,53545100.0,80890800000000.0
20000,472507.0,70538400.0,176194000.0,379283000000000.0,160977000.0,206163000000000.0
30000,693990.0,148179000.0,264899000.0,1419650000000000.0,353110000.0,2881490000000000.0
40000,920504.0,291537000.0,413691000.0,2304080000000000.0,576301000.0,8087060000000000.0
50000,1057770.0,351816000.0,501907000.0,4121310000000000.0,813995000.0,8079770000000000.0
60000,1372810.0,484982000.0,588404000.0,4688600000000000.0,1131570000.0,2.50189e+16
70000,1583040.0,574271000.0,747150000.0,7183660000000000.0,1494710000.0,2.88645e+16
80000,1795830.0,787699000.0,894413000.0,7293150000000000.0,2003960000.0,5.96211e+16
90000,2031860.0,879369000.0,1019350000.0,9170640000000000.0,2306470000.0,3.46885e+16
100000,2773250.0,8219450000000.0,1162210000.0,1.79362e+16,2824850000.0,3.6274e+16
